number,values_0,values_1,params_lambda1,params_lambda2,params_lambda3,state
169,0.35490967268848744,0.02026286036079763,8.472257504437634,0.0710781666765033,0.012153602231809899,COMPLETE
170,0.3579761349243384,0.014564653937397294,1527.4056882170871,1.0459589352239622,0.14097777988846388,COMPLETE
171,0.37570828611425905,0.020374446562092505,1.7665262839663332,815.9273528863137,2.126283050311451,COMPLETE
172,0.3459769348710086,0.02471327646065818,1721.6508317919295,815.9273528863137,42.891577809853594,COMPLETE
173,0.3372441837210853,0.02085540015621769,8.224266399158536,0.010278560068641458,23.314371508522434,COMPLETE
174,0.3455102993133791,0.022252448671272188,0.739696397673381,0.004999800239819827,0.002321377368166416,COMPLETE
175,0.34931004599693355,0.024217914235059996,0.6784989975346336,0.005343050121125536,0.15587585500340254,COMPLETE
176,0.350976601559896,0.021319854848879067,1.7665262839663332,85.18878419501763,0.00020510138688257878,COMPLETE
177,0.35897606826211587,0.09625305725144313,1499.0745749857142,0.0018624612770867563,0.021141173098034063,COMPLETE
178,0.3406439570695287,0.05021965496154161,417.9115989289213,0.0022794295629377953,0.011285236279223778,COMPLETE
179,0.3215785614292381,0.051669815002682466,417.9115989289213,0.0022794295629377953,0.012153602231809899,COMPLETE
180,0.3573095126991534,0.022598755444674632,0.29666630004709366,0.002848117294377246,13.238034213610483,COMPLETE
181,0.35370975268315447,0.021032584085664725,0.0538781294981949,1.3973170725818818,27.675657746138164,COMPLETE
182,0.3421771881874542,0.015775129306856216,0.01266823364506068,0.011818266667056865,0.7172867002158089,COMPLETE
183,0.3583094460369309,0.024049908104356286,0.11992208029488345,41.08997939282877,0.3495442183447877,COMPLETE
184,0.34864342377174856,0.023400908360796512,129.07367297601618,1.0459589352239622,0.002321377368166416,COMPLETE
185,0.352843143790414,0.026209178902630192,224.66776147679124,18.74648023931517,26.630667879649653,COMPLETE
186,0.3584427704819679,0.09293968306684165,1520.5372838501282,0.0022794295629377953,0.012153602231809899,COMPLETE
187,0.3467102193187121,0.023431200591221557,8669.88715345849,0.48953793570171933,5.11844744614606,COMPLETE
188,0.34484367708819413,0.02043751335614826,0.12037367784236278,0.3502785449666189,0.00013265816147121234,COMPLETE
189,0.3319778681421239,0.025386303848982363,54.3611831383526,0.004716459383914133,27.440789817741177,COMPLETE
190,0.3469768682087861,0.022124709965514515,134.89126423704204,1.7553708996959754,1.7168258157745666,COMPLETE
191,0.32197853476434907,0.02132057520422866,456.31520109530413,1.0459589352239622,0.0006106987752270689,COMPLETE
192,0.3367108859409373,0.02365796851323589,384.60378477590393,1.0459589352239622,0.0027866740652998873,COMPLETE
193,0.2923138457436171,0.02445525186781951,4184.267465085887,138.51576670291945,0.011285236279223778,COMPLETE
194,0.34911005932937805,0.03109174665481987,0.01266823364506068,0.011818266667056865,1.4025504494272414,COMPLETE
195,0.3296446903539764,0.024255970122466032,0.6365843730955881,2.80304300138271,49.15727330790535,COMPLETE
196,0.3511765882274515,0.02401951830234279,100.10459551305067,1.0459589352239622,0.021141173098034063,COMPLETE
197,0.32224518365442306,0.023249743191117143,1.3419257266613198,512.0984756468755,31.03350893923145,COMPLETE
198,0.3558429438037464,0.023638549236969324,15.538698832631345,0.0022794295629377953,0.012153602231809899,COMPLETE
199,0.3250449970002,0.033815767837050224,307.9150880821873,0.028116181226127118,0.0004039237048194089,COMPLETE
