number,values_0,values_1,params_delta_deg,params_gamma,params_lambda1,params_lambda3,state
162,0.0799,0.12488524304127505,2.210908662319974,1.0349923919098447,9.914994884267644,12.630413240768252,COMPLETE
163,0.11645,0.5510948744128941,1.885070427035611,3.0352039660395387,6755.71174442274,1.4874310019960524,COMPLETE
164,0.08435,0.1727854183839498,5.5150049043702545,1.0567072421993136,62.697590963815536,11.34645454198699,COMPLETE
165,0.0926,0.4621722107161506,7.386495200771071,1.8145138315019835,598.6615620059632,5.252393949938683,COMPLETE
166,0.10435,0.7037276573923363,7.489439152524652,7.639970758565217,30.54779366423335,0.5985950343657075,COMPLETE
167,0.1095,0.6395538124099132,5.939170481881678,7.716956152431088,0.3991416433153113,0.02905967905537422,COMPLETE
168,0.10005,0.5605352838088794,7.257271731141275,1.9089523660217274,1726.8598499372624,3.9703371647893633,COMPLETE
169,0.09745,0.43004967527619903,2.8704622067687735,7.716956152431088,0.012321623353921948,1.1978662200146621,COMPLETE
170,0.08535,0.17346244371747177,1.231549139893947,1.4022913402036523,0.3991416433153113,21.06244841510019,COMPLETE
171,0.0941,0.28043879083517526,2.9749567558335412,3.8898159147092635,0.3920301995719809,11.34645454198699,COMPLETE
172,0.0859,0.4268476782578046,3.2342614694771625,7.716956152431088,8.529295686269778,62.493815744501724,COMPLETE
173,0.08285,0.2725107025045894,4.400305109968493,1.367793264680829,92.82206366903544,5.252393949938683,COMPLETE
174,0.07575,0.18369123038427376,7.351751324003693,1.2992706708708701,1.9411683121291674,1.526275265602974,COMPLETE
175,0.1156,0.7000340239382823,7.386495200771071,8.055871767960358,28.623301091967512,0.04841802788233872,COMPLETE
176,0.10965,0.648304833614401,5.5150049043702545,8.262636744830575,30.54779366423335,0.5985950343657075,COMPLETE
177,0.1068,0.6333489126586737,5.015087845644564,3.671714116833704,1476.1251734596226,4.792699168837896,COMPLETE
178,0.08885,0.2184378012526964,3.4099180219956797,1.9873909843390936,0.17367781104921115,0.7684581064000697,COMPLETE
179,0.10915,0.252493182154787,2.2719390134821618,3.646112620052233,2.4792588435669867,44.76380938653201,COMPLETE
180,0.10475,0.42398891959877294,2.8711698160207777,5.600304491850606,53.18440558386166,5.441312040789246,COMPLETE
181,0.0984,0.20196848826538216,0.9051880720188049,2.7953589641653553,0.08966993501391612,4.8269015675922065,COMPLETE
182,0.08805,0.11133062367820246,0.6501390125994883,1.0567072421993136,62.697590963815536,0.9748353504772814,COMPLETE
183,0.0792,0.2924124141282486,7.398979747077997,2.99838938907905,0.013312218698214922,13.846907547344033,COMPLETE
184,0.09515,0.3789468093044584,1.725904925943869,5.950827672861153,0.05109523190358239,10.475882099332132,COMPLETE
185,0.1245,0.44326081361251307,0.6578958202118839,9.413482932589199,598.6615620059632,5.252393949938683,COMPLETE
186,0.14085,0.5552661340100461,0.42711796918343303,9.840804570484812,4727.189639165575,0.25306962850359427,COMPLETE
187,0.11435,0.6134368376008542,6.139130625639881,3.315945713584284,2022.4284041722115,72.57830932179442,COMPLETE
188,0.09125,0.5513287980558857,6.743337396038037,1.2992706708708701,1136.9451617293491,0.7242985480394712,COMPLETE
189,0.1027,0.47985949843532383,1.8892823822974358,5.600304491850606,0.016793998762577547,0.08614457198150818,COMPLETE
190,0.08495,0.3262073494446288,7.489439152524652,3.315945713584284,0.04073331394919802,72.57830932179442,COMPLETE
191,0.0843,0.47638392929808226,7.398979747077997,3.0156649020845308,61.128832411058866,32.402251569270184,COMPLETE
192,0.07885,0.2881259274032223,5.608567316603186,2.6851029970103544,2.4792588435669867,13.846907547344033,COMPLETE
193,0.06035,0.1536724709319227,7.489439152524652,1.0000874311382033,0.4111694316312813,0.41678774153157633,COMPLETE
