number,values_0,values_1,params_delta_deg,params_gamma,params_lambda1,params_lambda2,params_lambda3,params_lambda4,state
109,0.07685,0.2323773895780882,2.9625252062896905,4.77140422604705,199.3421825312387,0.020030895601175654,65.29593691398921,7.193768872281646e-06,COMPLETE
110,0.08145,0.5047912239464967,5.420095072840656,1.5118264221365771,6.309621892159185,0.0030057614541025594,1.3182212929843344,1.2038654211851023e-08,COMPLETE
111,0.0636,0.2300673296485189,0.3755559762776226,1.09673513268978,199.3421825312387,0.020030895601175654,0.0865894314002392,2.4587778031103135e-13,COMPLETE
112,0.08705,0.15806184104745977,5.720174263997889,3.124044679655519,430.1723517706057,0.00826708800494452,1.1918137946358598,0.0005591468606024808,COMPLETE
113,0.03855,0.277536548116632,6.485051657135356,1.4234508712843703,0.33899932252483383,0.5218478141839406,1.4298640803911997,6.84161446778786e-11,COMPLETE
114,0.0668,0.3803053842135686,3.8100689522949174,1.8827496343632901,1.8442663426239594,0.012367602403591714,46.83459773148538,8.404943762538142e-14,COMPLETE
115,0.08115,0.6338967397756885,5.171503332724998,7.17211618019438,48.82299940456844,110.16646134717259,2.606433764399818,6.285133845011153e-08,COMPLETE
116,0.074,0.13804813042172956,0.42362663409879886,3.124044679655519,430.1723517706057,38.169107570273646,1.1918137946358598,0.0028759240278739104,COMPLETE
117,0.0464,0.20066678335130986,3.0455122299916,1.0726049388472807,0.1650525774177293,0.9623849890232574,5.192615578479196,7.859644999737183e-10,COMPLETE
118,0.0762,0.5019414172140674,5.772100366242379,3.2243370920705345,228.33319982424072,11.739481102126906,3.616911213787438,1.5335060532903536e-12,COMPLETE
119,0.0697,0.39732584722909864,2.6687924132954657,2.2170817359027377,293.8273741494749,26.74882813359584,3.017106373964752,1.5085857231899863e-09,COMPLETE
120,0.0582,0.5169704111907995,3.999286460242423,2.8036597183497527,0.019607071158490193,55.29124057933768,1.4298640803911997,6.338054654029837e-09,COMPLETE
121,0.05945,0.3942408728065805,6.485051657135356,2.3695902809361096,0.018773525753257667,0.012773457447228288,0.03019843517815248,3.2408239014163186e-13,COMPLETE
122,0.0819,0.1419880107368791,6.943625321882633,1.278900300298122,3.2182245813333146,0.04789428503857981,0.8905073895997795,5.061876736904231e-05,COMPLETE
123,0.0513,0.4019368247772894,7.051402036894628,2.8036597183497527,0.014163043718649002,0.17740617781052795,12.491315660805293,6.338054654029837e-09,COMPLETE
124,0.05925,0.32716183230093354,4.3548083271808515,2.0117238004086353,0.04837604790572567,0.12480776742786713,34.574222073764446,8.720647859508846e-11,COMPLETE
125,0.069,0.39006910542046586,6.913660803340553,2.3695902809361096,0.19956023567932574,0.5218478141839406,0.03019843517815248,5.154185106469425e-06,COMPLETE
126,0.0725,0.5034428890804518,1.3912626618467459,2.5033277105189193,0.5606287050152496,508.77693357446805,6.615790753010882,1.2038654211851023e-08,COMPLETE
127,0.05855,0.3842444853153069,5.686980021608849,2.5118580794078285,1.0946066447217027,0.12480776742786713,59.2437895529571,8.720647859508846e-11,COMPLETE
128,0.05625,0.36950280933677687,5.686980021608849,2.5118580794078285,0.5606287050152496,0.5785583616865927,59.2437895529571,1.2038654211851023e-08,COMPLETE
129,0.05845,0.5303379793595479,5.07985354852306,5.412074081249687,1.9377994539588752,107.59872434463156,0.07549604599441283,4.443488697213951e-11,COMPLETE
130,0.1215,0.7558447846601201,2.9818440259424124,7.7810916339596,122.89461118334582,0.0031908865058218267,0.011164497812863232,1.46355092508407e-09,COMPLETE
131,0.09925,0.5890091451048106,1.7387701998600082,8.528259812725711,0.06483803734091015,4.703038707832875,0.0102563780405892,2.450464818207948e-13,COMPLETE
132,0.10745,0.28762103631618535,0.9010074297085696,5.751620494688234,3090.9457533461396,0.6111346680536379,14.732118064935978,3.20468331270818e-05,COMPLETE
133,0.0791,0.5472116026824397,4.335111916469993,7.17211618019438,0.020393106282222583,1.2594502646806938,17.543999742650467,2.577192200796009e-07,COMPLETE
134,0.07985,0.5518782569272334,3.685860265729417,8.359124144204223,0.4634053899763641,51.0531204742495,99.91758933651535,1.5335060532903536e-12,COMPLETE
135,0.064,0.43101668284359096,2.6687924132954657,2.2170817359027377,0.013180357347451611,2.06186869324418,0.0946298025542308,1.5085857231899863e-09,COMPLETE
136,0.06785,0.23524091287657276,3.7495801020287662,1.7519510271087413,0.13781443311961294,5.054984284069897,76.57127726580364,0.00013070558581836393,COMPLETE
137,0.06895,0.1402473717838387,4.797597292147365,1.6279687987777078,1017.2965276733869,5.054984284069897,0.09669535384395445,9.152354487403374e-07,COMPLETE
